Taken at,Barcode no.,Body no.,DMp (%),NFI-2,DMa (cm2),DMs,DMs(AUSMEAT),DMs(MSA),DMc,DFc,Cross-section image thumbnail
2026-04-24 13:11:47-05:00,J-3042326,J-3042326,18.36086412014708,5.268014999397793,81.7305,5.418291001855403,4,590.0,3,3,https://storage.googleapis.com/carcassdb/beef/f50ae85c-44e1-4603-a50e-d451a166de60/cross_section_800x600.jpg
2026-04-24 13:11:27-05:00,J-2042326,J-2042326,19.332565223863277,4.986727287737389,87.2532,5.705039997562053,4,600.0,1C,3,https://storage.googleapis.com/carcassdb/beef/38c4d486-8027-4271-b2de-0519536dbfc8/cross_section_800x600.jpg
2026-04-24 13:11:05-05:00,1003042326,1003042326,19.919072956034373,5.1002662857808785,90.5857,5.878118429325743,3,580.0,3,4,https://storage.googleapis.com/carcassdb/beef/8188d9f2-5287-4b14-af47-1f1667867cd1/cross_section_800x600.jpg
2026-04-24 13:10:36-05:00,224042326,224042326,22.472477513394043,5.911562759013024,73.2034,6.631628114202582,4,650.0,3,3,https://storage.googleapis.com/carcassdb/beef/104870c0-bb4c-4530-aced-ae66dc4c7b80/cross_section_800x600.jpg
2026-04-24 13:10:14-05:00,C-49042326,C-49042326,18.855429765826116,3.9591835351455256,62.6574,5.564237323895287,4,590.0,1C,3,https://storage.googleapis.com/carcassdb/beef/f6d7a13d-95ba-44aa-b475-0e931e43480d/cross_section_800x600.jpg
2026-04-24 13:09:51-05:00,73042326,73042326,17.77304047381458,4.694337256652224,118.5262,5.244824243822682,3,570.0,2,3,https://storage.googleapis.com/carcassdb/beef/a02633bb-b880-4f22-9acd-0579e3e1957e/cross_section_800x600.jpg
2026-04-24 13:09:30-05:00,J-1042326,J-1042326,20.55266053522121,4.032548189859579,98.4543,6.065090123943778,4,650.0,1C,3,https://storage.googleapis.com/carcassdb/beef/f5c88d17-112c-4176-8333-5fe3858dd0da/cross_section_800x600.jpg
2026-04-24 13:09:04-05:00,NT-2042326,NT-2042326,22.45541290442674,4.779376104905019,75.8565,6.626592348096331,5,690.0,3,3,https://storage.googleapis.com/carcassdb/beef/35011c36-ec4f-44a9-9f5d-e743e178b1fd/cross_section_800x600.jpg
2026-04-24 13:08:44-05:00,82042326,82042326,14.457842471733656,4.0094274129892895,88.2816,4.266509313408601,2,430.0,3,3,https://storage.googleapis.com/carcassdb/beef/ea29d5e3-b2b0-4759-8c4f-293aa4dc01f8/cross_section_800x600.jpg
2026-04-24 13:08:22-05:00,240042326,240042326,31.43625326579304,7.467131477791399,79.5072,9.276838338735526,6,890.0,2,4,https://storage.googleapis.com/carcassdb/beef/4198841a-a375-4221-844f-a66a4605904d/cross_section_800x600.jpg
2026-04-24 13:08:02-05:00,76042326,76042326,22.573673233409338,6.008277962759944,94.708,6.661490971179095,4,680.0,2,3,https://storage.googleapis.com/carcassdb/beef/e3edb4eb-d59b-4c81-b95e-4cc7ad3a927b/cross_section_800x600.jpg
2026-04-24 13:07:39-05:00,NT-1042326,NT-1042326,17.982332644519637,4.960083261245809,85.5635,5.306586363397744,3,570.0,2,3,https://storage.googleapis.com/carcassdb/beef/a81d0daa-d303-492c-ac4e-0ce0ade7ab47/cross_section_800x600.jpg
2026-04-24 13:07:13-05:00,220042326,220042326,25.267541742069266,5.7640241513908546,88.2472,7.45645156808464,5,770.0,2,3,https://storage.googleapis.com/carcassdb/beef/c1f1418b-5188-4bab-a43e-edc238aa0941/cross_section_800x600.jpg
2026-04-24 13:06:48-05:00,236042326,236042326,21.905386212170875,5.159239111989009,98.9979,6.464279471211625,4,670.0,1C,3,https://storage.googleapis.com/carcassdb/beef/e02e3f33-5e67-41a4-9b33-a10ab9874101/cross_section_800x600.jpg
2026-04-17 13:54:39-05:00,9328041626,9328041626,20.867757766592383,4.815352685506572,97.2845,6.158075316921412,4,660.0,1C,3,https://storage.googleapis.com/carcassdb/beef/b659229d-9270-4c55-b347-81b59004fef6/cross_section_800x600.jpg
2026-04-17 13:54:19-05:00,9352041626,9352041626,17.456735466704938,4.950036802000037,92.4367,5.151482636224627,3,580.0,2,3,https://storage.googleapis.com/carcassdb/beef/323caf9a-5e7a-452d-b4b4-5771a92dab21/cross_section_800x600.jpg
2026-04-17 13:54:01-05:00,9333041626,9333041626,18.673894775000413,4.1457627382035955,99.0363,5.510666348102622,4,610.0,2,4,https://storage.googleapis.com/carcassdb/beef/dd8d3b2e-0f8b-4585-b190-b1ff82bbc94e/cross_section_800x600.jpg
2026-04-17 13:53:44-05:00,9281041626,9281041626,19.911672690004856,5.102089452708955,75.9946,5.8759346108204324,4,630.0,2,3,https://storage.googleapis.com/carcassdb/beef/e269c564-4a35-4870-a8f7-3f623d9c0283/cross_section_800x600.jpg
2026-04-17 13:53:27-05:00,9298041626,9298041626,21.46774537972976,4.86647947455236,79.932,6.335131661558251,5,700.0,2,3,https://storage.googleapis.com/carcassdb/beef/7182cf46-e98e-4cca-91a4-c06c484d2c6e/cross_section_800x600.jpg
2026-04-17 13:53:08-05:00,9357041626,9357041626,18.358179880599067,5.104097869521071,80.2587,5.417498882764785,3,580.0,3,3,https://storage.googleapis.com/carcassdb/beef/5519e21e-635d-4083-9766-e8c19b935366/cross_section_800x600.jpg
2026-04-17 13:52:47-05:00,9358041626,9358041626,15.194563355339167,4.153982751253522,79.5424,4.483915646160588,3,500.0,3,3,https://storage.googleapis.com/carcassdb/beef/9ac4a927-2f91-4f7d-93ac-1f79357afde8/cross_section_800x600.jpg
2026-04-17 13:52:19-05:00,9359041626,9359041626,25.70437653361097,5.228536359519197,91.9847,7.585361515068596,6,790.0,2,3,https://storage.googleapis.com/carcassdb/beef/469729de-a55a-4d84-83a1-6513b6d63a6e/cross_section_800x600.jpg
2026-04-17 13:51:59-05:00,9360041626,9360041626,19.720958206143685,4.823945016539172,89.9192,5.819654766633001,4,630.0,2,3,https://storage.googleapis.com/carcassdb/beef/034f9a37-64c6-4fec-a81b-b1529bb8f4ce/cross_section_800x600.jpg
2026-04-17 13:51:38-05:00,9401041626,9401041626,20.14937306032697,4.953675924873959,87.4994,5.946079990102488,4,670.0,1C,3,https://storage.googleapis.com/carcassdb/beef/4faa7908-2296-4087-92ba-f42ed41a8e87/cross_section_800x600.jpg
2026-04-17 13:51:11-05:00,9397041626,9397041626,29.14073637974523,4.872614467651478,88.5254,8.599431305662817,7,910.0,3,3,https://storage.googleapis.com/carcassdb/beef/7bf883fe-7090-42c5-89d8-616001ac44a4/cross_section_800x600.jpg
2026-04-17 13:50:29-05:00,9364041626,9364041626,27.094353206830913,6.152906126104323,93.5391,7.995543631335802,6,820.0,3,4,https://storage.googleapis.com/carcassdb/beef/bd8a0afa-f3fc-4ffa-a10b-8230f37bce07/cross_section_800x600.jpg
2026-04-17 13:50:04-05:00,9300041626,9300041626,21.30223343181248,4.457894718386843,76.2056,6.286289085727862,4,680.0,1C,3,https://storage.googleapis.com/carcassdb/beef/42ed8641-3cd8-4e0c-b9a2-0e799d6cdbe7/cross_section_800x600.jpg
2026-04-17 13:49:46-05:00,9278041626,9278041626,23.064935587222006,5.830980039314249,91.4968,6.806462491789214,5,710.0,3,3,https://storage.googleapis.com/carcassdb/beef/b76d36ec-421f-432c-b222-63333731a11e/cross_section_800x600.jpg
2026-04-17 13:49:24-05:00,9334041626,9334041626,33.110793966691105,7.415875139981497,78.3262,9.770995299570544,7,1000.0,2,3,https://storage.googleapis.com/carcassdb/beef/e03743f0-0999-4c85-92ae-b84ae39ecceb/cross_section_800x600.jpg
2026-04-17 13:48:24-05:00,9746041626,9746041626,20.733973316501842,5.883091030058865,95.0874,6.118595525699693,4,630.0,1C,3,https://storage.googleapis.com/carcassdb/beef/7386b653-68ba-48c4-9eb8-648b005c6a63/cross_section_800x600.jpg
2026-04-17 13:47:59-05:00,9627041626,9627041626,18.483147133020996,4.867653471255011,75.5427,5.454376718954496,4,590.0,2,3,https://storage.googleapis.com/carcassdb/beef/3f24d9a9-e6b0-4953-ae53-f3dd6ca04259/cross_section_800x600.jpg
2026-04-17 13:47:37-05:00,9404041626,9404041626,19.139018489253598,4.585784834339653,94.9342,5.647924356178736,4,610.0,3,3,https://storage.googleapis.com/carcassdb/beef/6dba9a68-9a6c-4ce2-9e7c-a741f5ffc9bb/cross_section_800x600.jpg
2026-04-17 13:47:14-05:00,9297041626,9297041626,34.93515146433273,5.577303538796288,90.1625,10.30936319712459,8,1080.0,2,3,https://storage.googleapis.com/carcassdb/beef/59c71a92-bdbf-46f6-99b6-6e41859c0f39/cross_section_800x600.jpg
2026-04-17 13:46:47-05:00,9351041626,9351041626,14.891135601586738,4.9571728284195276,79.9594,4.394374116028247,3,490.0,3,3,https://storage.googleapis.com/carcassdb/beef/a02beb3d-d76f-4180-8e94-99f78f7d0648/cross_section_800x600.jpg
2026-04-17 13:46:21-05:00,9361041626,9361041626,19.685460171841637,5.127091341267137,83.9089,5.809179296710467,4,640.0,3,3,https://storage.googleapis.com/carcassdb/beef/ec50d53a-786d-4904-8583-1c0ddfcf4581/cross_section_800x600.jpg
2026-04-17 13:45:59-05:00,9626041626,9626041626,21.867702816640946,5.910362365271583,97.7363,6.453159101190743,4,650.0,1C,3,https://storage.googleapis.com/carcassdb/beef/426d54be-d550-49ff-ac9a-79229cb77419/cross_section_800x600.jpg
2026-04-17 13:45:17-05:00,9330041626,9330041626,24.66411880691255,5.831751009482559,108.8965,7.278381459919894,5,760.0,2,3,https://storage.googleapis.com/carcassdb/beef/9c424134-2a87-4a82-9780-5cee2c32c938/cross_section_800x600.jpg
2026-04-17 13:40:09-05:00,9355041626,9355041626,18.821563597875652,4.511317283228525,87.0881,5.554243417733105,4,630.0,1C,3,https://storage.googleapis.com/carcassdb/beef/fa41f11a-d19b-480b-bb76-10b8e6652fd8/cross_section_800x600.jpg
